ID,Status,Assigned To,Submitted By,Category,Building,Description,Floor,Issue Type,Submitted Date,Required Due Date,Last Note,Tenant,Created For,Suite,Groups,Ticket Type,Updated At,Completion Date,Billable Total,Object ID
"W-UNP-3061","on_hold","Sean Martell","Sean Martell","CW Engineering","300 Massachusetts Avenue","GEF 1 fan failure due to mechanical issue (seized) ","Roof","CW Engineering (CW Use Only)",2026-03-05 08:07:12,"","Disconnected electrical load side wires and disconnect switches for GEF 1 & GEF 6 in prep for Saturday’s crane pick. Electrical components wrapped with heavy duty trash bags and tape (images attached)","CW Engineering","","","300 Massachusetts Ave Engineering Group, SM Notification, Facilities Management","base_building",2026-05-12 12:27:26,"","0.00","3uSSU2Vbm6"
"W-UNP-2950","in_progress","Dariusz Olszewski","Steven Mello","HVAC-Mechanical","65 Landsdowne Street","Install strap mounted sensors to the primary HW loop and the boiler return lines.  Route wires back to HW panel","06","HVAC-Mechanical",2026-02-19 11:45:06,2026-02-24 08:45:00,"","BMR Facilities","","","65 Landsdowne Engineering Group, Facilities Management, SM Notification","base_building",2026-05-05 20:07:13,"","0.00","A53buqNfDz"
"W-UNP-3635","in_progress","Dariusz Olszewski","Chris DiLuiso","General Repairs","38 Sidney Street","Slow leak coming from ceiling at 38 Sidney on the 5th floor. Bucket has been placed to catch water. Photos attached for specifics.\n\n","05","General Repairs",2026-04-30 10:43:52,2026-05-20 10:43:00,"Just walked the vacant space for any leaks or puddles of water coming from the roof due to the rain overnight. Zero leaks. Space is completely dry. ","BMR Team","","","Property Management","base_building",2026-05-11 09:31:21,"","0.00","AZQ8yIfTWe"
"W-UNP-3693","on_hold","Sean Martell","Steven Mello","HVAC-Mechanical","35 Landsdowne Street","AHU 1.1 Chamber A hot water coil leak ","9","HVAC-Mechanical",2026-05-05 08:38:31,2026-05-07 16:38:00,"Hamel wants to clean and braze the failed joint. They will be in touch.","BMR Facilities","","","35 Landsdowne Engineering Group, Facilities Management, SM Notification","base_building",2026-05-07 14:40:20,"","0.00","D4gd7mKeKh"
"W-UNP-2884","on_hold","Sean Martell","Sean Martell","CW Engineering","35 Landsdowne Street","Fuel Line Leak Detector and Monitor disconnect due to failure.","01","CW Engineering (CW Use Only)",2026-02-12 12:24:56,"","Tony from Gaston says they should have the new one by end of this week or beginning of next ","CW Engineering","","","35 Landsdowne Engineering Group, SM Notification, Facilities Management","base_building",2026-05-05 11:28:01,"","0.00","FsYthbkMPc"
"W-UNP-2966","submitted","Evan Sullivan","Jorge Figueroa","CW Engineering","65 Landsdowne Street","RTU1 SF2 motor circuit breaker found tripped; trips instantly upon reset. ","Roof","CW Engineering (CW Use Only)",2026-02-24 01:07:55,"","Gaston says the VFD replacement was never approved by BMR ","CW Engineering","","Roof","65 Landsdowne Engineering Group, SM Notification, Facilities Management","base_building",2026-05-05 10:57:52,"","0.00","IXDiCBnuKR"
"W-UNP-3624","accepted","Jorge Figueroa","Jorge Figueroa","CW Engineering","300 Massachusetts Avenue","CT2 belt showing signs of wear and tear.  Motor sheave is missing a small piece.  Replace belt and sheave.","Roof","CW Engineering (CW Use Only)",2026-04-29 15:07:02,"","Replacement sheave has been ordered. ","CW Engineering","","","300 Massachusetts Ave Engineering Group, SM Notification, Facilities Management","base_building",2026-05-06 11:48:40,"","0.00","NM4Q2eiVFZ"
"W-UNP-3667","submitted","Mark Donovan","Mark Donovan","CW Engineering","75 Sidney Street","Vacuum pump 1 is making a loud grinding noise. It has been turned off, with pump 2 still in auto and operating fine. ","06","CW Engineering (CW Use Only)",2026-05-01 13:31:03,"","Bret from Comairco came out to inspect the unit. He said that the pump is showing several signs of failure and probably needs to be replaced. He will be following up directly with Steve Mello.","CW Engineering","","","75 Sidney Engineering Group, SM Notification, Facilities Management","base_building",2026-05-07 14:31:37,"","0.00","OlDyXtTBtG"
"W-UNP-3283","on_hold","Sean Martell","Jorge Figueroa","CW Engineering","300 Massachusetts Avenue","AHU5 SF4 motor sealed bearing replacement.  Fan 4 powered off from breaker.","07","CW Engineering (CW Use Only)",2026-03-24 11:27:18,"","","CW Engineering","","","300 Massachusetts Ave Engineering Group, SM Notification, Facilities Management","base_building",2026-03-24 11:31:25,"","0.00","Oyr1kOvo1o"
"W-UNP-3706","on_hold","Evan Sullivan","Daryn Hurst","Plumbing","65 Landsdowne Street","Small leak (drip) from hot water loop located near safety shower.","06","Plumbing",2026-05-05 13:51:06,2026-05-08 13:51:00,"Placing WO on hold to discuss next steps with management ","The Brighams and Womens Hospital","Daryn Hurst","Mechanical Room","65 Landsdowne Engineering Group, Facilities Management, SM Notification","tenant_request",2026-05-12 15:05:15,"","0.00","PMhSQd1nd1"
